File_ID,File_Path_Origin,File_Size,File_Date,File_Path_Destination,File_Destination_Size
27,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13756-INFO-EMP-LINKEDIN-FR-1602637167.html,233.5 KB,2023-04-07 14:29:46.494726,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13756-INFO-EMP-LINKEDIN-FR-1602637167.html,233.5 KB
28,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13677-INFO-EMP-LINKEDIN-FR-1631668386.html,366.9 KB,2023-04-07 14:29:46.495443,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13677-INFO-EMP-LINKEDIN-FR-1631668386.html,366.9 KB
29,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13693-AVIS-SOC-GLASSDOOR-E762009_P1.html,496.2 KB,2023-04-07 14:29:46.496170,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13693-AVIS-SOC-GLASSDOOR-E762009_P1.html,496.2 KB
30,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13587-INFO-EMP-LINKEDIN-FR-1595877705.html,404.4 KB,2023-04-07 14:29:46.496895,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13587-INFO-EMP-LINKEDIN-FR-1595877705.html,404.4 KB
31,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13587-AVIS-SOC-GLASSDOOR-E1838_P1.html,550.3 KB,2023-04-07 14:29:46.497637,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13587-AVIS-SOC-GLASSDOOR-E1838_P1.html,550.3 KB
32,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13778-AVIS-SOC-GLASSDOOR-E9028_P1.html,471.3 KB,2023-04-07 14:29:46.498382,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13778-AVIS-SOC-GLASSDOOR-E9028_P1.html,471.3 KB
33,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13602-AVIS-SOC-GLASSDOOR-E3516_P1.html,433.8 KB,2023-04-07 14:29:46.499138,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13602-AVIS-SOC-GLASSDOOR-E3516_P1.html,433.8 KB
34,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13770-INFO-SOC-GLASSDOOR-E1013306_P1.html,200.6 KB,2023-04-07 14:29:46.499871,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13770-INFO-SOC-GLASSDOOR-E1013306_P1.html,200.6 KB
35,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13703-INFO-EMP-LINKEDIN-FR-1638949709.html,329.6 KB,2023-04-07 14:29:46.500618,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13703-INFO-EMP-LINKEDIN-FR-1638949709.html,329.6 KB
36,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html,636.6 KB,2023-04-07 14:29:46.501383,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html,636.6 KB
