Id;Nom_Fichier;Site_Web;Date_Creation;Date_Modification;Date_ingestion;Taille_Fichier
37;13550-INFO-SOC-GLASSDOOR-E10686_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;219017 KO
38;13562-INFO-SOC-GLASSDOOR-E1303620_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;226744 KO
39;13636-INFO-SOC-GLASSDOOR-E1303620_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;226846 KO
40;13618-INFO-SOC-GLASSDOOR-E1136406_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;194101 KO
41;13693-INFO-SOC-GLASSDOOR-E762009_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;224964 KO
42;13745-INFO-SOC-GLASSDOOR-E3803_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;234105 KO
43;13806-INFO-SOC-GLASSDOOR-E2701639_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;450714 KO
44;13554-INFO-SOC-GLASSDOOR-E855284_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;213130 KO
45;13718-INFO-SOC-GLASSDOOR-E1881876_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;218722 KO
46;13572-INFO-SOC-GLASSDOOR-E2098670_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;199661 KO
47;13661-INFO-SOC-GLASSDOOR-E633820_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;225143 KO
48;13641-INFO-SOC-GLASSDOOR-E28187_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;230119 KO
49;13649-INFO-SOC-GLASSDOOR-E2548_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;233438 KO
50;13676-INFO-SOC-GLASSDOOR-E1130981_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;192401 KO
51;13711-INFO-SOC-GLASSDOOR-E3043501_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;194026 KO
52;13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;215005 KO
53;13623-INFO-SOC-GLASSDOOR-E1146056_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;219317 KO
54;13767-INFO-SOC-GLASSDOOR-E1387356_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;199710 KO
55;13777-INFO-SOC-GLASSDOOR-E116383_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;212352 KO
56;13574-INFO-SOC-GLASSDOOR-E1130973_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;222710 KO
57;13691-INFO-SOC-GLASSDOOR-E1130973_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;222704 KO
58;13668-INFO-SOC-GLASSDOOR-E1127933_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;190409 KO
59;13654-INFO-SOC-GLASSDOOR-E899918_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;193260 KO
60;13800-INFO-SOC-GLASSDOOR-E1443740_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;459624 KO
61;13787-INFO-SOC-GLASSDOOR-E35333_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;213393 KO
62;13634-INFO-SOC-GLASSDOOR-E7633_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;224329 KO
63;13558-INFO-SOC-GLASSDOOR-E6162_P1.html;GLASSDOOR;2023-02-27 19:30:28;2023-02-27 19:30:28;2023-02-27 19:36:16;242984 KO
